Date,Nifty Financial Services,Nifty IT,India VIX,Nifty Bank,Nifty 50
2020-06-03,10384.5,14361.7001953125,30.040000915527344,20940.455078125,10061.5498046875
2020-06-04,10110.849609375,14627.4501953125,29.690000534057617,20390.212890625,10029.099609375
2020-06-05,10334.849609375,14627.4501953125,28.68000030517578,21034.255859375,10142.150390625
2020-06-08,10360.2001953125,14894.599609375,29.649999618530273,21187.103515625,10167.4501953125
2020-06-09,10163.349609375,14737.849609375,30.209999084472656,20724.66015625,10046.650390625
2020-06-10,10280.4501953125,14842.0498046875,29.440000534057617,21099.853515625,10116.150390625
2020-06-11,10035.7001953125,14619.4501953125,29.65999984741211,20524.912109375,9902.0
2020-06-12,10111.75,14402.75,30.81999969482422,20654.310546875,9972.900390625
2020-06-15,9817.900390625,14396.7001953125,32.58000183105469,19912.66796875,9813.7001953125
2020-06-16,10089.9501953125,14450.7998046875,32.970001220703125,20296.462890625,9914.0
2020-06-17,10007.099609375,14478.4501953125,33.349998474121094,20201.515625,9881.150390625
2020-06-18,10372.0,14551.25,31.459999084472656,20956.056640625,10091.650390625
2020-06-19,10534.75,14499.7998046875,29.969999313354492,21337.8515625,10244.400390625
2020-06-22,10662.5498046875,14463.7001953125,30.459999084472656,21708.09765625,10311.2001953125
2020-06-23,10881.400390625,14680.400390625,29.34000015258789,22264.642578125,10471.0
2020-06-24,10556.7001953125,14581.4501953125,29.579999923706055,21426.55078125,10305.2998046875
2020-06-25,10585.599609375,14411.2001953125,29.729999542236328,21505.900390625,10288.900390625
2020-06-26,10588.4501953125,14994.650390625,28.739999771118164,21591.80078125,10383.0
2020-06-29,10533.2001953125,14768.0,28.90999984741211,21358.751953125,10312.400390625
2020-06-30,10561.900390625,14754.2998046875,29.1200008392334,21369.90234375,10302.099609375
2020-07-01,10843.25,14732.150390625,28.1200008392334,21977.34375,10430.0498046875
2020-07-02,10906.75,15122.5498046875,26.510000228881836,21952.943359375,10551.7001953125
2020-07-03,10870.900390625,15285.900390625,25.770000457763672,21852.146484375,10607.349609375
2020-07-06,11023.7001953125,15464.9501953125,25.200000762939453,22198.69140625,10763.650390625
2020-07-07,11193.900390625,15784.9501953125,25.100000381469727,22627.736328125,10799.650390625
2020-07-08,11129.25,15513.650390625,26.100000381469727,22584.388671875,10705.75
2020-07-09,11305.2998046875,15535.9501953125,24.90999984741211,22906.93359375,10813.4501953125
2020-07-10,11091.2001953125,15565.2001953125,24.940000534057617,22398.189453125,10768.0498046875
2020-07-13,10919.900390625,15819.2001953125,25.25,22088.994140625,10802.7001953125
2020-07-14,10652.0,15640.5498046875,26.639999389648438,21391.951171875,10607.349609375
2020-07-15,10616.099609375,16459.849609375,26.290000915527344,21340.501953125,10618.2001953125
2020-07-16,10708.2998046875,16926.05078125,25.360000610351562,21596.8984375,10739.9501953125
2020-07-17,10915.7001953125,16821.349609375,24.15999984741211,21966.544921875,10901.7001953125
2020-07-20,11093.2001953125,17258.30078125,24.709999084472656,22321.58984375,11022.2001953125
2020-07-21,11317.900390625,17273.19921875,24.43000030517578,22781.734375,11162.25
2020-07-22,11290.400390625,17076.05078125,24.889999389648438,22882.333984375,11132.599609375
2020-07-23,11380.349609375,17045.19921875,24.639999389648438,23083.6328125,11215.4501953125
2020-07-24,11184.900390625,17286.0,24.540000915527344,22661.787109375,11194.150390625
2020-07-27,10909.150390625,17626.75,25.020000457763672,21848.49609375,11131.7998046875
2020-07-28,11057.0498046875,18042.75,23.639999389648438,22104.94140625,11300.5498046875
2020-07-29,10989.9501953125,17880.5,24.110000610351562,22076.34375,11202.849609375
2020-07-30,10795.099609375,18003.55078125,24.729999542236328,21646.59765625,11102.150390625
2020-07-31,10728.849609375,18071.849609375,24.190000534057617,21639.798828125,11073.4501953125
2020-08-03,10467.2001953125,17965.80078125,25.190000534057617,21071.85546875,10891.599609375
2020-08-04,10706.0,17808.0,23.81999969482422,21490.25,11095.25
2020-08-05,10685.349609375,17869.80078125,23.56999969482422,21509.69921875,11101.650390625
2020-08-06,10797.349609375,18188.75,23.149999618530273,21642.34765625,11200.150390625
2020-08-07,10823.099609375,18004.150390625,22.579999923706055,21753.748046875,11214.0498046875
2020-08-10,10913.7998046875,18159.55078125,22.510000228881836,21899.99609375,11270.150390625
2020-08-11,11030.2001953125,18057.099609375,21.360000610351562,22226.94140625,11322.5
2020-08-12,10996.099609375,18066.0,20.850000381469727,22263.7421875,11308.400390625
2020-08-13,10978.2001953125,18107.19921875,20.56999969482422,22196.091796875,11300.4501953125
2020-08-14,10758.4501953125,18022.650390625,21.670000076293945,21679.1484375,11178.400390625
2020-08-17,10783.599609375,18223.599609375,21.309999465942383,21700.59765625,11247.099609375
2020-08-18,10995.599609375,18270.349609375,20.43000030517578,22170.341796875,11385.349609375
2020-08-19,11042.349609375,18210.849609375,19.959999084472656,22285.640625,11408.400390625
2020-08-20,10897.5,18126.099609375,20.6200008392334,21999.193359375,11312.2001953125
2020-08-21,11025.75,18065.30078125,19.940000534057617,22299.33984375,11371.599609375
2020-08-24,11256.599609375,18010.94921875,19.229999542236328,22832.734375,11466.4501953125
2020-08-25,11358.9501953125,17973.69921875,19.31999969482422,23091.8828125,11472.25
2020-08-26,11416.7001953125,18128.0,19.299999237060547,23413.927734375,11549.599609375
2020-08-27,11483.400390625,18102.650390625,18.899999618530273,23600.076171875,11559.25
2020-08-28,11720.349609375,18122.0,18.350000381469727,24523.515625,11647.599609375
2020-08-31,11389.0,17928.849609375,22.84000015258789,23754.07421875,11387.5
2020-09-01,11493.599609375,17814.05078125,21.799999237060547,23811.72265625,11470.25
2020-09-02,11490.5498046875,18077.0,21.110000610351562,23874.2734375,11535.0
2020-09-03,11371.349609375,18348.55078125,20.5,23530.576171875,11527.4501953125
2020-09-04,11157.75,18073.94921875,22.149999618530273,23011.232421875,11333.849609375
2020-09-07,11143.5,18176.80078125,22.010000228881836,22944.783203125,11355.0498046875
2020-09-08,11086.2001953125,18395.75,22.719999313354492,22744.13671875,11317.349609375
2020-09-09,10887.599609375,18261.5,22.229999542236328,22266.740234375,11278.0
2020-09-10,10968.0498046875,18395.849609375,21.260000228881836,22465.9375,11449.25
2020-09-11,10966.9501953125,18633.25,20.709999084472656,22479.6875,11464.4501953125
2020-09-14,10782.650390625,19505.099609375,21.190000534057617,22100.9921875,11440.0498046875
2020-09-15,10925.9501953125,19627.30078125,20.600000381469727,22465.388671875,11521.7998046875
2020-09-16,11016.099609375,19770.349609375,19.65999984741211,22573.2890625,11604.5498046875
2020-09-17,10881.150390625,19817.69921875,20.100000381469727,22320.08984375,11516.099609375
2020-09-18,10746.849609375,19827.099609375,20.049999237060547,22030.794921875,11504.9501953125
2020-09-21,10527.2001953125,19729.0,22.190000534057617,21366.552734375,11250.5498046875
2020-09-22,10414.849609375,19866.099609375,21.40999984741211,21138.853515625,11153.650390625
2020-09-23,10426.5,19805.650390625,20.989999771118164,21178.25390625,11131.849609375
2020-09-24,10134.7998046875,18973.05078125,23.510000228881836,20456.611328125,10805.5498046875
2020-09-25,10332.25,19629.349609375,20.68000030517578,20982.10546875,11050.25
2020-09-28,10591.349609375,19783.05078125,19.56999969482422,21665.248046875,11227.5498046875
2020-09-29,10561.900390625,19831.80078125,19.770000457763672,21411.052734375,11222.400390625
2020-09-30,10622.400390625,19951.349609375,19.530000686645508,21451.55078125,11247.5498046875
2020-10-01,10949.599609375,20110.400390625,18.350000381469727,22245.7421875,11416.9501953125
2020-10-05,10963.25,20809.0,19.700000762939453,22370.689453125,11503.349609375
2020-10-06,11308.900390625,20896.75,19.639999389648438,22853.43359375,11662.400390625
2020-10-07,11340.900390625,21017.400390625,20.059999465942383,22964.533203125,11738.849609375
2020-10-08,11433.5,21697.25,20.3799991607666,23191.080078125,11834.599609375
